Lake name,Latitude (°),Longitude (°),Area(km2),Elevation (m),Average Depth (m),Number of Pixels ,Percentage of lake represented
Frame Lake,-114.391,62.4542,0.85,186,3.4,523,55.29
Francois Lake,-112.373,62.461,24.16,269,6.1,24259,90.36
Frodsham Lake,-113.604,63.6462,23.34,336,11.8,23316,89.8
Gagnon Lake,-110.45,62.0308,22.99,317,19.8,19590,76.69
Gale Lake,-115.268,63.9338,1.1,277,7.6,863,70.91
Gamey Lake,-115.204,64.1352,0.54,328,5.5,370,61.11
Gar Lake,-114.373,62.5212,0.28,182,2.9,188,60.71
Garde Lake,-106.268,62.832,104.05,0,0,99319,85.91
Gardenia Lake,-105.893,62.0199,40.35,361,5,36955,82.43
Georic Lake,-112.984,63.1825,0.6,324,6.2,398,60
Germaine Lake,-114.609,63.2969,22.84,265,16.2,20542,80.95
Ghost Lake,-115.147,63.8504,62.93,275,34.9,59083,84.49
Giauque Lake,-113.831,63.1809,16.46,252,22.8,15472,84.57
Glowworm Lake,-109.24,64.6365,102.5,412,20.4,102052,89.61
Gold Lake,-107.949,64.7369,2.87,325,14.4,2113,66.2
Goodspeed Lake,-109.465,63.098,57.92,319,24.2,53085,82.49
Goodwin Lake,-114.088,63.0453,2.82,248,7.4,2484,79.43
Gordon Lake,-113.201,63.0668,167.16,284,11.5,157999,85.07
Grace 2 Lake,-112.564,62.1628,3.7,218,5.7,3093,75.14
Grace Lake,-114.448,62.4188,0.64,172,3.4,378,53.12
Graham Lake,-113.807,62.9008,16.37,216,17.8,16453,90.47
Gras Lake,-110.448,64.523,705.63,404,9.6,724732,92.44
Great Slave Lake,-113.243,62.2183,9553.89,148,59.1,8607738,53.14
Greenrock Lake,-116.512,65.9309,2.8,394,7.8,2399,77.14
Greyling Lake,-114.289,62.6827,0.5,198,5.9,274,50
Grizzle Bear Lake,-112.982,64.1998,21.13,376,5.6,20776,88.36
Grizzly Lake,-115.574,64.5081,4.6,327,11.9,4108,80.43
Grodsky Lake,-108.391,62.082,5.87,372,3.7,5652,86.54
Hair Lake,-110.048,62.4313,5.24,185,16.8,4952,85.11
Hanbury Lake,-105.698,63.5646,7.57,328,8,7295,86.79
Handle lake,-114.397,62.4914,0.21,196,2.3,116,47.62
Handley Page Lake,-116.777,65.9876,29.03,315,17.3,28307,87.77
Hansen Lake,-116.748,65.6957,16.33,323,17.6,15363,84.69
Harald Lake,-113.535,62.685,4.12,260,3.3,3060,66.75
Hardisty Lake,-117.676,64.5506,302.59,186,26.9,298804,88.86
Harrison Lake,-107.659,63.0102,4.71,402,3.9,3464,66.24
Havant Lake,-115.555,65.8333,9.79,401,7.8,9524,87.33
Haywood Lake,-110.504,63.4599,32.79,395,8.2,32691,89.72
Healey Lake,-106.663,64.2964,153.4,352,8.2,141117,82.67
Heuss Lake,-107.081,63.3052,9.63,360,6.1,7831,73.21
Hidden 1 Lake,-113.682,62.5107,0.2,193,5,104,45
Hidden Lake,-113.556,62.5531,12.45,205,14.7,12189,88.11
Hilltop Lake,-111.041,63.3671,25.91,407,5.7,23714,82.36
Hislop Lake,-116.927,63.5189,34.04,172,14.6,33779,89.28
Hoare Lake,-105.131,63.6208,8.66,305,5,7769,80.72
Holmason Lake,-115.024,63.9889,1.27,269,13.9,1065,75.59
Homer Lake,-114.286,62.6641,0.59,0,0,358,54.24
Hottah Lake,-118.484,65.0678,842.81,175,6.7,875662,93.45
Howard Lake,-105.97,62.213,186.86,345,4,172970,83.31
Huff Lake,-107.163,62.2876,7.96,387,4.9,6599,74.62
Hump Lake,-116.552,63.586,2.72,191,8.2,2111,69.85
Humpy Lake,-113.435,64.6678,23.77,402,8.2,23502,88.98
Hunter Lake,-113.371,64.1024,9.9,362,8.9,9181,83.43
Indian Hill Lake,-110.736,63.222,90.09,380,4.1,82097,82.02
Indian Mountain Lake,-111.004,63.1267,23.55,387,15.6,21855,83.52
Indin Lake,-115.151,64.2435,156.43,253,45.2,150631,86.66
Inglis Lake,-115.164,63.1693,16.49,201,17.2,13740,75.02
Ingray Lake,-116.171,64.2701,139.71,241,62.9,142207,91.6
Irritation Lake,-115.264,65.0587,4.3,382,7.1,4019,84.19
Isabella Lake,-117.697,64.8136,59.6,186,26.9,60442,91.19
Island Lake,-114.1,62.4914,0.9,205,3.3,563,56.67
Itchen Lake,-112.827,65.5184,137.71,400,23.1,144870,94.68
Jackfish Lake,-114.392,62.4666,0.47,182,5,376,72.34
Jackson Lake,-114.305,62.5872,0.92,182,5.2,654,64.13
James Lake,-116.439,63.0095,19.34,147,15.8,17730,82.52
Jennejohn Lake,-113.747,62.4206,16.98,196,4.6,15192,80.51
Jim Lake,-104.579,62.4087,20.33,282,5.7,20581,91.1
Joe Lake,-114.387,62.483,0.1,0,0,45,40
Johnston Lake,-114.2,62.9965,5.34,213,10.6,4969,83.71
Jolly Lake,-111.94,64.1417,73.43,403,9.8,75697,92.78
Jones Lake,-108.377,62.3131,4.53,367,7.7,3984,79.25
Kam Lake,-114.406,62.4205,2.12,163,4.7,1770,75
Kamilukuak Lake,-102.005,62.4711,0.34,247,21.1,235,61.76
Keskarrah Lake,-115.25,66.0464,18.73,399,8.3,17792,85.37
King Lake,-110.762,63.7752,13.04,402,5.7,12294,84.82
Kirk Lake,-109.066,63.7188,64.1,389,5.7,64275,90.25
Kog lake,-114.396,62.4048,0.63,170,3.3,349,49.21
Koropchuk Lake,-116.767,64.1512,27.7,241,9.4,23818,77.4
Kway Cha Lake,-118.552,65.4413,23.96,166,2.8,23902,89.69
La Loche Lakes,-110.877,62.006,2.65,301,6.3,2423,82.26
Lac Avril,-115.292,63.9542,1.35,253,9.9,1123,74.81
Lac de Charloit,-107.976,63.8105,102.31,375,13.5,104407,91.85
Lac du Bois,-105.76,63.6146,13.71,343,3.8,12312,80.82
Lac Grandin,-119.064,63.9802,244.36,319,6.1,263747,97.14
Lac la Martre,-117.961,63.3195,1676.65,249,10,1815957,97.34
Lac la Prise,-108.722,63.062,30.61,375,9.9,29779,87.55
Lac Levis,-117.951,62.6347,53.25,265,3.7,56088,94.8
Lac Malfait,-117.988,64.6284,38.05,174,4.8,38337,90.67
Lac Nez Croche,-111.403,63.2502,28.59,396,9.7,27563,86.78
Lac Tachs,-119.987,64.0127,124.55,308,13.5,126349,91.3
Lac Tate dOurs,-110.572,63.3577,62.23,385,10,63718,92.16
Lake of the Enemy,-110.238,63.7792,135.33,396,12.2,134187,89.06
Lake Providence,-112.065,64.7582,102.58,358,28,103207,90.55
Lamoureux Lake,-113.682,62.9108,4.11,270,6.1,3551,77.86
Landing Lake,-114.408,62.56,1.28,202,2.6,861,60.16
Languish Lake,-112.904,62.7684,11.24,307,4.4,10597,84.88
Larocque Lake,-107.707,63.0496,1.5,396,2.5,1108,66.67
Lastfire Lake,-113.029,64.5342,6.13,357,6.4,5919,86.95
Laurie Lake,-115.208,64.4817,0.47,358,5,330,63.83
Lausen Lake,-109.744,62.5875,7.24,186,15.3,6648,82.6
Leonforte Lake,-119.654,64.5848,10.65,392,6.1,10916,92.21
Likely Lake,-114.311,62.6466,0.39,204,4.9,130,30.77
Little Crapeau Lake,-116.518,64.8211,123.5,275,21.4,118280,85.98
Little Forehead Lake,-113.281,64.7824,18.2,401,20,16804,83.08
Little Lake,-113.96,62.5467,0.14,217,2.7,92,57.14
Logie Lake,-105.759,62.1353,4.23,357,2.8,3454,73.52
Long Lake,-114.442,62.4773,1.16,196,2.1,788,61.21
Long Legs Lake,-113.773,64.7613,16.7,417,5.6,14850,80.06
Longtom Lake,-117.834,65.1715,43.93,189,19.3,43869,89.87
Lou Lake,-116.782,63.5682,1.82,193,13.8,1468,72.53
Love Lake,-114.759,62.995,4.43,246,5.9,3172,64.33
Lynx Lake,-106.285,62.4099,295.27,344,10.1,282676,86.16
Mac Lake,-113.468,63.0753,5.09,312,5.3,3993,70.53
MacKay Lake,-111.012,63.9233,972.33,390,20.7,1002573,92.8
MacLellan Lake,-110.037,63.2324,23.2,383,13.9,20923,81.16
MacNaughton Lake,-115.314,63.7135,0.37,296,3.7,201,48.65
Mad Lake,-112.749,62.1169,1.16,222,4.1,958,74.14
Madeline Lake,-114.081,62.5468,0.93,170,8.8,733,70.97
Magpie Lake,-108.877,62.4488,4.13,355,8.8,3700,80.63
Magrum Lake,-108.635,62.0674,4.97,373,7.1,4492,81.29
Malley Lake,-108.087,63.5601,30.34,395,7.5,25931,76.93
Mann Lake,-112.797,62.3496,1.26,244,2.2,958,68.25
Mantic Lake,-104.457,62.3336,59.48,293,5.4,58030,87.81
Margaret Lake,-117.128,64.507,102.43,203,32.2,101844,89.47
Marian Lake,-116.203,62.9243,236.84,147,15.8,251024,95.22
Martin Lake,-114.439,62.5313,3.09,197,3.2,2163,63.11
Mary Frances Lake,-106.245,63.3043,149.45,363,8,143654,86.51
Mary Lake,-103.54,62.3855,164.8,294,20.6,170394,92.96
Mattberry Lake,-115.891,64.1132,82.24,235,38.6,80356,87.94
Matthews Lake,-111.245,64.0696,10.35,422,6.3,9582,83.29
Max Ward Lake,-113.708,65.4787,11.65,367,8.5,11912,92.02
Maze Lake,-105.944,63.8946,16.16,350,2.9,12516,69.68
Mazenod Lake,-117.014,63.7003,36.3,199,14,34834,86.36
McCrea Lake,-112.572,63.5556,16.07,404,12,15065,84.38
McIntosh Lake,-114.901,65.7574,3.71,436,5,3398,82.48
McKee Lake,-110.043,62.3492,2.97,353,6.1,2387,72.39
McKinlay Lake,-111.541,62.8749,26.65,365,8.1,25518,86.19
McKinnon Lake,-108.497,62.0601,10.03,370,5.6,9324,83.65
McLellan Lake,-117.958,63.8428,9.55,0,0,9510,89.63
McPhee Lake,-113.052,63.0264,1.91,312,7.2,1323,62.3
McTavish Arm,-117.83,65.4491,189.7,175,29.6,188745,89.55
Meander Lake,-112.149,62.5774,10.48,311,10.7,9539,81.97
Meg Lake,-114.383,62.416,0.09,0,0,45,44.44
Meridian Lake,-109.43,62.6042,37.1,201,26.3,38923,94.42
Merl Lake,-112.655,62.4007,0.7,260,3.5,550,70
Mesa Lake,-115.147,64.8268,36.55,365,12.4,34701,85.44
Messina Lake,-119.526,64.1837,18.27,371,7,18633,91.79
Methane Lake,-114.174,62.4838,0.98,180,3.8,684,63.27
Michel Lake,-114.141,62.881,3.17,229,6.1,2633,74.76
Milner lake,-114.341,62.5923,0.41,212,2.3,182,39.02
Misty Lake,-109.785,63.067,9.86,321,12.9,9180,83.77
Moberly Lake,-114.315,63.0166,12.75,225,20.8,10564,74.59
Mohawk Lake,-112.115,64.0222,20.01,438,4.6,18774,84.46
Moise Lake,-114.136,62.3247,0.78,166,3.7,596,69.23
Moose Lake,-114.089,62.9803,1.24,253,5.7,978,70.97
Moraine Lake,-106.01,64.1074,80.99,352,5.3,75416,83.8
Morel Lake,-113.677,65.6372,20.28,380,8,19808,87.92
Morose Lake,-112.915,62.8252,12.01,311,6,11015,82.51
Mosquito Lake,-103.341,62.5798,311.21,292,12.7,323804,93.54
Mud Lake,-117.197,63.0225,11.2,0,0,9829,79.02
Munn Lake,-109.974,63.6481,70.94,391,15.9,71057,90.01
Murdock Lake,-109.431,63.5811,51.1,423,4,44286,78
Murphy Lake,-109.801,62.1121,8.86,299,9.4,8198,83.3
Murray Lake,-113.441,63.0154,2.56,292,3.7,2187,76.95
Musclow Lake,-106.953,63.7879,4.97,375,3.2,4259,77.06
Muskeg Lake,-103.64,62.0805,8.47,322,5.4,6939,73.67
Naga Lake,-119.21,65.2199,5.31,175,5.7,5261,89.08
Nardin Lake,-113.839,63.4931,18.14,341,11.9,15645,77.62
Nelligan Lake,-105.784,63.3149,8.66,360,4.1,7482,77.71
Nelson Lake,-108.111,62.1925,7.77,409,3.5,5840,67.7
Newbigging Lake,-112.226,64.4419,15.36,444,8,15039,88.15
Nieznany Lake,-105.175,62.3904,3.56,323,3.9,2966,75
Nonacho Lake,-109.317,62.0843,104.88,312,15.3,104841,89.86
NoName Lake 01,-114.39,62.5522,0.06,0,0,14,16.67
NoName Lake 02,-108.095,64.4885,50.13,379,14.1,48651,87.35
NoName Lake 03,-109.052,64.3012,28.16,403,4.6,28308,90.48
NoName Lake 04,-109.297,64.3279,64.28,393,6.3,65424,91.6
NoName Lake 05,-108.275,63.7958,20.95,389,6.2,20814,89.4
NoName Lake 06,-112.075,63.6362,70.68,413,7.3,68296,86.97
NoName Lake 07,-110.554,63.5828,64.99,409,8.4,59077,81.81
NoName Lake 08,-114.046,63.3532,17.4,290,28.3,16528,85.52
NoName Lake 09,-107.279,63.3114,77.05,362,6.1,74521,87.05
NoName Lake 10,-106.178,63.1366,47.57,349,5.9,47674,90.2
NoName Lake 11,-117.93,62.9845,45.5,267,3.1,46436,91.85
NoName Lake 12,-102.796,63.0017,88.98,263,4.3,86218,87.21
NoName Lake 13,-111.917,62.9299,40.08,390,13.8,39749,89.25
NoName Lake 14,-102.003,62.6587,34.76,246,8.7,31634,81.9
NoName Lake 15,-114.246,62.7732,24.89,195,21.1,20640,74.65
NoName Lake 16,-113.936,62.5755,38.89,166,20.8,36375,84.19
NoName Lake 17,-114.194,62.5985,36.73,152,24.4,36116,88.48
NoName Lake 18,-107.594,62.4351,48.91,362,8.7,46675,85.89
NoName Lake 19,-103.28,62.2774,62.81,285,8.5,60275,86.29
NoName Lake 20,-114.47,62.6374,1.1,215,4,661,53.64
NoName Lake 21,-114.421,62.5109,1.33,201,1.6,919,62.41
NoName Lake 22,-114.231,62.4853,3.21,169,5.3,2700,75.7
NoName Lake 23,-114.177,62.4598,1.39,164,2.9,1069,69.06
NoName Lake 24,-114.628,62.428,1.26,171,2.6,891,63.49
NoName Lake 25,-114.472,62.5003,0.21,204,1.9,131,57.14
NoName Lake 26,-109.632,65.0632,208.76,427,15.1,208919,89.95
NoName Lake 27,-110.876,64.792,109.48,430,8.2,108844,89.48
NoName Lake 28,-115.883,63.7155,139.74,208,2,129795,83.48
NoName Lake 29,-112.318,63.4001,106.08,397,14.5,100296,85.1
NoName Lake 30,-102.65,62.5706,194.39,255,11.7,192351,89.06
NoName Lake 31,-114.871,65.2597,25.88,449,5.6,25720,89.45
NoName Lake 32,-115.923,65.0306,54.52,348,18.5,52898,87.33
NoName Lake 33,-109.082,65.024,68.24,399,10.9,71432,94.21
NoName Lake 34,-108.844,64.9761,36.5,380,7.7,38642,95.29
NoName Lake 35,-109.044,64.9043,19.27,417,12.8,19406,90.66
NoName Lake 36,-108.66,64.9469,44.71,382,6.7,45389,91.37
NoName Lake 37,-109,64.7693,65.26,397,9.9,64212,88.55
Noyes Lake,-105.901,62.5395,24.79,346,4.3,24435,88.71
Octopus Lake,-114.449,62.3737,0.77,158,1.8,453,53.25
Odjick Lake,-113.917,65.516,31.55,358,28,32155,91.73
Old Canoe Lake,-111.453,63.443,61.76,421,12.5,57663,84.03
Olson Lake,-105.277,62.9121,7.97,337,4,7755,87.58
One Arm Lake,-114.342,62.5458,0.12,183,3,37,25
Orkney Lake,-113.182,64.1307,5.96,385,5,5583,84.23
Oro Lake,-114.333,62.6283,0.46,219,3.5,231,45.65
Ortona Lake,-119.222,64.7705,14.3,634,6.2,14279,89.86
Outram Lakes,-109.433,64.0362,48.87,367,9.2,49430,91.04
Papanakies Lake,-110.338,63.2306,23.3,406,5.7,22211,85.79
Parent Lake,-114.381,65.2658,50.14,376,14.6,49992,89.73
Pate Lake,-114.206,64.4237,12.02,382,7.4,11154,83.53
Payne Lake,-112.068,62.8293,9.74,362,12.1,8904,82.24
Peaceful Lake,-113.505,62.9932,2.46,283,4.2,2119,77.64
Pellatt Lake,-109.777,64.9606,40.31,427,15.1,38887,86.83
Pelonquin Lake,-111.225,65.3221,21.08,493,7,21342,91.13
Peninsula Lake,-113.364,62.5234,0.84,230,4.2,501,53.57
Perlson Lake,-111.92,63.1328,24.87,394,9.1,24483,88.58
Phoenix Lake,-113.339,63.7636,27.15,344,13.9,24178,80.15
Pickerel Lake,-113.488,62.4943,1.57,209,6.8,1100,63.06
Pink Lake,-113.018,62.6731,3.44,263,7.4,2883,75.29
Plex Lake,-110.785,63.1137,2.21,389,5.8,2036,82.81
Point Lake,-113.091,65.2602,626.84,358,28,644500,92.47
Pollock Lake,-115.808,63.3195,4.06,198,9.3,3165,70.2
Pontoon Lake,-114.003,62.5418,3.36,195,7.2,3064,82.14
Porphyry Lake,-113.403,64.0488,3.53,345,6.9,3156,80.45
Prang Lake,-112.501,63.8773,14.34,425,7.9,13060,81.94
Preg Lake,-114.081,62.4527,0.17,173,3.3,76,41.18
Prestige Lake,-113.645,62.9615,8.25,270,6.8,7802,85.09
Price Lake,-108.158,62.0349,8.59,375,7,8341,87.43
Ptarmigan Lake,-107.429,63.5903,82.73,352,12.7,82480,89.71
